name,price_low,price_high,rating_num,rating,description
Igloo?? Playmate?? Hardtop Gripper Maxcold Cooler Bag,$26.99 ,$26.99 ,13,4.4,"25 percent more foam keeps contents cooler for longer
Protective, molded tent-top compartment
Ergonomic, rubberized comfort grip handle for easy carrying"
"Igloo 12V Portable Electric Cooler, Iceless 40",$153.00 ,$153.00 ,16,4.5,"Convection cooling
Fan circulates cold air
Allows plastic bottles to cool as much and as quickly as cans"
Igloo Marine 94-Quart Cooler,$92.07 ,$92.07 ,31,4.5,"MaxCold cooler is UV-shielded
Sturdy lid supports up to 300 lbs
Igloo camping cooler features fish measuring ruler built into the lid"
"Coleman Steel-Belted Portable Cooler, 54 Quart, Stainless Steel",$164.56 ,$164.56 ,127,4.4,"Keep up to 54-quarts of contents
Safe, cooled and easily portable"
Koolatron P25 12V Portable Electric Cooler (26 Quarts/24 Liters),$83.30 ,$83.30 ,32,4.1,"Thermoelectric 12 volt Cooler
Ideally suited to the individual traveller
Powers from 12V outlet"
Rubbermaid 24 Quart Modern Red Personal Cooler,$43.31 ,$43.31 ,36,4.2,"Stain and odor resistant
Easy to clean liner"
"Coleman 62 Quart Wheeled Cooler, Blue/White",$38.53 ,$38.53 ,19,3,"Heavy duty wheels for easy, reliable transport
Cup holders molded into the lid keep drinks close"
Tommy Bahama 100 Quart Wood Rolling Cooler,$499.99 ,$499.99 ,0,0,"Removable Hard Liner
Side Mesh Pockets
Adjustable Shoulder Strap"
Igloo Ice Chest Universal Parts Kit White,$9.67 ,$9.67 ,109,4.7,"22 screws
2 latches and 2 latch posts
2 pair of hinges"
"Coleman Oversized Quad Folding Camp Chair with Cooler Pouch, Red",$23.99 ,$34.99 ,427,4.5,"Padded seat and back
Soft cooler pouch holds 2 - 4 cans and 1 Coleman Chiller
Adjustable arm height"
"Long-Lasting Ice Pack for Coolers, Lunches, Camping, Fishing, and More, Chillin' Brew Series by Arctic Ice, Reusable Medium Ice Pack",$11.68 ,$11.68 ,6,4.7,"Arctic Ice Reusable Ice Pack 
Great for tailgating, coolers, lunches, traveling, parties, camping, fishing, hunting and injuries
Reusable up to 100,000 times"
Coleman TE Cooler Power Supply,$19.99 ,$19.99 ,34,4.2,"Converts Coleman PowerChill Thermoelectric Coolers
For use with Coleman PowerChill 40/16-Quart Coolers"
Ozark Trail 12-oz. Can Cooler 2 Pack,$10.00 ,$10.00 ,0,0,
"Ozark Trail Parklander 26 Quart Cooler (25L ), 32 can capacity",$29.95 ,$29.95 ,5,3.8,Merchandise
Zimtown Iron Spray Plastic with Tray Cooler with Shelf,$124.99 ,$124.99 ,1,4,"can keep the warm food above 40 ??? for 4-5 hours
430 Stainless Steel
With two directional wheels, can stop at any time"
"Clearance! 2020 Upgraded Rolling Cooler with Foldable Picnic Table and 2 Portable Fishing Chair, 30-Quart Wheeled Cooler for Camping, BBQs, Tailgating & Outdoor Activities, Blue, I7449",$99.99 ,$99.99 ,8,3.375,"EASY TO OPEN AND FOLD - This camping cooler does not have assemble requirement. It's easy to open and fold. When it is in fold position, it's a box for storage; when it is in unfold position, it"
Costway Portable Air Conditioner Cooler Fan Filter Humidify Anion W/ Remote Control New,$115.99 ,$115.99 ,26,2.4,"8L large water tank
User-friendly LED light control panel
Fan mode : Normal/Natural/Sleeping
Fan speed : Low/Middle/High
Overall dimension : 15'' (L) x 11.5'' (W) x"
Koolatron P85 12V Krusader Electric Cooler and Warmer (52 Quarts/49 Liters),$169.41 ,$169.41 ,7,3.7,"State-of-the-art thermoelectric cooling technology
Reverse the power cord to turn the cooler into a warmer"
Arctic King Premium 34-Bottle Wine Cooler,$156.26 ,$156.26 ,75,4.1,"Arctic King 34-Bottle Wine Cooler:
34-bottle capacity
Touch control
Slide-out shelves
Interior LED light
LED display
Adjustable legs for leveling"
Costway Evaporative Portable Air Conditioner Cooler Fan Humidify ( Not sold to consumers located in California),$85.99 ,$85.99 ,63,3.3,"Overall dimension :10'' (L) x 11'' (W) x 24'' (H)
Water tank capacity :4L
Performs best in hot/dry climates where humidity levels are
Notice: Not sold to"
"Whirlpool Commercial Water Dispenser Water Cooler with Ice Chilled Water Cooling Technology, White",$110.43 ,$110.43 ,46,3.8,"Uses ice to make water about nine degrees Fahrenheit colder than in other water dispensers
Built to last; commercial grade technology guarantees years of reliable use"
Whirlpool Stainless Steel Bottom-Load Water Dispenser Water Cooler with Self Clean and 5-LED Function Indicator,$171.77 ,$171.77 ,143,3.9,"Stainless steel exterior with black trim
Ice Chill technology
Hot Boost technology"
"RCA 110 Can & 4 Bottle Beverage Center and Wine Cooler, (RMIS1530) Black",$169.99 ,$169.99 ,54,3.3,"Holds 4 Wine Bottles & 110 Cans 
1 Chrome Wine Rack 3 Glass Shelves 
Frameless Door 
Glass-touch Electronic Temperature Controls 
Interior Blue Led Light "
"L'Oreal Paris Superior Preference Fade-Defying Color & Shine System Light Beige Brown Cooler 6Bb Hair Color, 1 Kt",$5.39 ,$17.42 ,1225,3.7,"Fade-defying color + shine system
Up to 8 weeks of color vibrancy
Rich Luminous Conditioning"
"NewAir Premium Stainless Steel 126 Can Beverage Refrigerator and Cooler with SplitShelf Design, AB-1200X",$249.99 ,$249.99 ,80,4.5,"Manufacturer warranty: 1-year warranty
Compressor feature ranges temperatures from 34 to 64 degrees
Weight: 64.5 pounds
LED light for inside visibility
Temperature"
"Primo Top Loading Hot / Cold Water Dispenser, White",$79.00 ,$79.00 ,583,4.4,"ENERGY STAR-qualified
Leak-proof design
Top-mounted push button controls"
"Primo Top-Load Water Dispenser, Stainless Steel/Black",$127.14 ,$127.14 ,420,4.3,"ENERGY STAR-qualified
CSA certified
Dispenses cold and hot water"
"Primo Bottom Loading Hot/Cold Water Dispenser, Black",$147.00 ,$147.00 ,347,4.1,"ENERGY STAR rated
2.0 compressor cooling system
Tank capacity cold/hot: 51fl oz/34 fl oz"
Igloo Island Breeze 28-Quart Cooler,$20.00 ,$36.98 ,24,4,Red. Swing-Up Bail Handle. Cool Riser Technology for Better Cooling. Ergonomic Curved Back for Carrying Comfort. Designed for Easy Stacking and Storage. Snap Lock Lid Closure. 28 Qts/26 Liters/37 12
"IGLOO 44807 Full Size Chest Cooler,120 qt,Wht/Org",$135.17 ,$135.17 ,15,4.3,"Stainless steel latch, hinges and screws
Bolt-through comfort grip handles
Cool Riser technology"
Coleman 48-Quart Cooler,$36.99 ,$36.99 ,28,4.1,"Holds 63 cans
Tall enough to carry 2L bottles upright
ThermOZONE insulation"
Igloo Maxcold Contour 165,$140.30 ,$140.30 ,9,4.1,"Ultra herm insulation in body and lid keeps ice up to 7 days at 90 Degree
Quick-access hatch provides access to cooler without opening entire lid
Reinforced swing-up handles with"
Coleman Xtreme 50 Qt Wheeled Cooler,$39.95 ,$39.95 ,42,3.6,"Extra ThermOZONE Insulation
Retains ice for 5 days
Free from CFCs, HFCs and HCFCs"
Igloo?? Hard Top Playmate?? Gripper??? 22 Tan/Orange Cooler Bag,$24.97 ,$24.97 ,6,4.7,"2 separate main compartments
Ergonomic comfort-grip handle
Front slip pocket"
Zimtown Portable Rolling Cooler w/Table & 2 Foldable Fishing Chair for Outdoor Camping,$77.77 ,$77.77 ,0,0,"Capacity:28 L
Ideal for cars with limited space, children, and quick trips
Unfolding Dimensions: (41.33 x 18.50 x 16.34)""
Blue or red color looks great anywhere"
